winbig,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Offense Four FactorseFG%,Offense Four FactorsTOV%,Offense Four FactorsORB%,Offense Four FactorsFT/FGA,Defense Four FactorseFG%,Defense Four FactorsTOV%,Defense Four FactorsDRB%,Defense Four FactorsFT/FGA,Arena,Attend.,Attend./G,winperc,ORebperc,DRebperc
0,26,Atlanta Hawks,25.4,24,58,27,55,-5.45,0.15,-5.3,105,110.6,-5.6,98.3,0.236,0.363,0.547,0.512,14.1,21.1,0.185,0.536,13.6,76.2,0.183,Philips Arena,590769,14409,0.292682927,21.1,76.2
0,27,Memphis Grizzlies,26,22,60,25,57,-6.21,0.39,-5.81,104.5,111,-6.5,94.9,0.255,0.317,0.539,0.5,14,22.4,0.201,0.529,13.8,76.5,0.256,FedEx Forum,653863,15948,0.268292683,22.4,76.5
0,28,Sacramento Kings,26.4,27,55,23,59,-6.99,0.39,-6.6,103.7,111.1,-7.4,94.9,0.194,0.278,0.529,0.502,12.8,21.5,0.143,0.542,13.5,77.6,0.199,Golden 1 Center,714680,17431,0.329268293,21.5,77.6
0,29,Chicago Bulls,24.4,27,55,23,59,-7.04,0.2,-6.84,103.8,110.9,-7.1,98.3,0.216,0.35,0.529,0.497,12.6,20.6,0.164,0.542,12.4,80.6,0.184,United Center,851824,20776,0.329268293,20.6,80.6
0,30,Phoenix Suns,23.7,21,61,19,63,-9.37,0.57,-8.8,103.5,112.8,-9.3,100.3,0.275,0.32,0.532,0.495,13.9,22.5,0.203,0.533,11.9,76.5,0.212,Talking Stick Resort Arena,690576,16843,0.256097561,22.5,76.5
1,1,Golden State Warriors*,28.2,67,15,67,15,11.63,-0.28,11.35,115.6,104,11.6,99.8,0.259,0.359,0.597,0.563,13.2,22.8,0.204,0.486,13.5,74.9,0.198,Oracle Arena,803436,19596,0.817073171,22.8,74.9
1,2,San Antonio Spurs*,29.6,61,21,60,22,7.2,-0.06,7.13,111.1,103.5,7.6,94.2,0.263,0.281,0.564,0.524,12.6,24,0.21,0.492,13.5,77.6,0.192,AT&T Center,755347,18423,0.743902439,24,77.6
0,3,Houston Rockets*,27.4,55,27,55,27,5.77,0.08,5.84,114.7,109,5.7,100,0.304,0.462,0.583,0.545,13.3,24.6,0.233,0.519,13.2,75.8,0.194,Toyota Center,695903,16973,0.670731707,24.6,75.8
0,4,Los Angeles Clippers*,30,51,31,52,30,4.29,0.13,4.42,112.7,108.2,4.5,96.1,0.312,0.329,0.574,0.537,12,21.5,0.233,0.506,12.1,76.9,0.211,STAPLES Center,782609,19088,0.62195122,21.5,76.9
0,5,Utah Jazz*,26.8,51,31,52,30,3.94,0.06,4,109.6,105.3,4.3,91.6,0.288,0.327,0.563,0.526,13.2,23.2,0.215,0.493,11.8,78.9,0.195,Vivint Smart Home Arena,806142,19662,0.62195122,23.2,78.9
